DATE,NOTES on Date,EXPENSE CATEGORY,DESCRIPTION,VENDOR,AMOUNT,FIXED/VARIABLE,NOTES,,,,,,,,,,,,,,,,
2025-07-26,,Production,fabrics,Town,720,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-31,,Marketing & Advertisement,Flyers,Scratch,500,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-31,,Photography,Images,Kaymora,1000,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-07-31,,Production,Board,Asafo,35,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-31,,Production,t-shirts,Segoe lane,180,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-31,,Production,Tote bag,Asafo,40,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-07-31,,Production,dtf,Asafo,20,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-08-01,,Transport,Fuel,Goil,300,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-08-01,,Transport,Fuel,Goil,200,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-08-01,,Photography,food,Pizzaman,650,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-08-01,,Photography,make-up,Jessica,500,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-08-04,,Production,Suit lining,Town,50,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-08-04,,Production,laces,Town,50,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-08-04,,Production,Tote bags,Angela,450,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-08-05,,Marketing & Advertisement,Rounds,"Joe, kotei",200,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-08-05,,Delivery,Tote bags,Rider,15,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-08-05,,Production,Food,Bismark,40,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-08-06,,Photography,Cardboard,Ayeduase,26,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-08-06,,Production,Zippers,Town,50,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-08-06,,Production,Press on buttons,Town,20,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-08-09,,Production,T-shirt,Segoe lane,90,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-08-12,,Production,Fabrics,Rails,300,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-08-15,,Production,T-shirt,Segoe lane,100,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-08-15,,Production,dtf,Asafo,20,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-08-15,,Production,Sewing,Bismark,1000,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-09-10,,Production,t-shirt,Segoe lane,400,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-09-10,,Production,dtf,Asafo,20,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-09-29,,Marketing & Advertisement,Boxes,Accra,500,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-09-29,,Marketing & Advertisement,Box sample,Accra,60,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-09-30,,Photography,Images,Kaymora,4000,Variable,Paid by Company,,,,,,,,,,,,,,,,
2025-09-30,,Photography,Images,Kaymora,2000,Variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,
2025-10-15,,Production,Threads,Segoe lane,20,Variable,"Paid by Owner, Paajoe",,,,,,,,,,,,,,,,
2025-10-24,,Production,Tailor tnt,Sterling,100,Variable,Paid by Company,,,,,,,,,,,,,,,,
