DATE,NOTES on Date,EXPENSE CATEGORY,DESCRIPTION,VENDOR,AMOUNT,FIXED/VARIABLE,NOTES,,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK 448C5LD2S2,Facebook,₵28,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK ZZE7KKV2S2,Facebook,₵28,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK UPHAWLZZR2,Facebook,₵28,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK UYJ47JM2S2,Facebook,₵28,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK UF6FKKV2S2,Facebook,₵28,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK FLVCFJR2S2,Facebook,₵185,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK 3RB5SJH2S2,Facebook,₵227,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK DLNAJJ92S2,Facebook,₵28,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK UYQH6JM2S2,Facebook,₵28,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK HGSK6JM2S2,Facebook,₵28,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK FAEPDJR2S2,Facebook,₵28,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK ZAW6ZJ52S2,Facebook,₵28,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK Q2BT2MVZR2,Facebook,₵28,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK FNGU4JM2S2,Facebook,₵28,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK CXF8FJH2S2,Facebook,₵28,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK CBUY4JM2S2,Facebook,₵28,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK CGPL3LD2S2,Facebook,₵28,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
2026-03-26,,Marketing,FACEBK BFRKCJR2S2,Facebook,₵28,variable,"Paid by Owner, Kwadwo Siaw",,,,,,,,,,,,,,,,,,
